data_set_name,target_name,ra,dec,start_time,stop_time,actual_duration,instrument,aper,spec,central_wavelength,release_date,preview_name,filename,data_uri,cutout,peak_value,fits_filepath,cutout_filepath,recno,SDSS,Plate,MJD,Fiber,zFG,zBG,Imag,n_Imag,AI,Name,L(V555),Re,Le2/LdV,b/a,PA,sigma,e_sigma,Mph,Mul,Lens,n_Lens,_RA,_DE
J9OP01010,SDSSJ0008-0004,2.012310559609,-0.06897320162024,2006-09-06T08:13:05.107000,2006-09-06T08:44:24.140000,1566.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1514,2006-09-06T17:46:38,J9OP01010,j9op01010_drz.fits,mast:HST/product/j9op01010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op01010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP01010.fits,1,000802.96-000408.2,669,52559,156,0.44,1.1924,18.65,d,0.12,J0008-0004,86.7,1.71,0.313,0.83,27.3,,,E,S,A, ,2.01233,-0.06894
J9EM03KSQ,SDSSJ0028-0929,7.074458333333,-9.492861111111,2005-10-20T04:26:15.577000,2005-10-20T04:33:16.767000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2466,2006-10-20T14:49:28.837000,J9EM03KSQ,j9em03ksq_drz.fits,mast:HST/product/j9em03ksq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em03ksq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J9EM03KSQ.fits,2,002817.87-092934.3,653,52145,590,0.0565,0.7146,13.75,s,0.07,J0028-0929,92.8,15.21,0.346,0.48,78.9,147,7,L,S,X, ,7.07446,-9.49286
J9EM03KTQ,SDSSJ0028-0929,7.074458333333,-9.492861111111,2005-10-20T04:35:53.557000,2005-10-20T04:42:54.747000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.8091,2006-10-20T14:59:27.010000,J9EM03KTQ,j9em03ktq_drz.fits,mast:HST/product/j9em03ktq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em03ktq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9EM03KTQ.fits,2,002817.87-092934.3,653,52145,590,0.0565,0.7146,13.75,s,0.07,J0028-0929,92.8,15.21,0.346,0.48,78.9,147,7,L,S,X, ,7.07446,-9.49286
J9OP02010,SDSSJ0029-0055,7.282348881592,-0.9307202053775,2006-09-12T16:05:25.150000,2006-09-12T16:48:02.167000,2088.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1558,2006-09-12T22:37:40,J9OP02010,j9op02010_drz.fits,mast:HST/product/j9op02010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op02010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP02010.fits,3,002907.77-005550.5,391,51782,88,0.227,0.9313,17.09,d,0.04,J0029-0055,76.3,2.16,0.31,0.84,26.6,229,18,E,S,A, ,7.28237,-0.93069
J9EM47AYQ,SDSSJ0044+0113,11.01208333333,1.220138888889,2006-06-12T05:24:33.973000,2006-06-12T05:31:35.023000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.9731,2007-06-12T14:44:46.453000,J9EM47AYQ,j9em47ayq_drz.fits,mast:HST/product/j9em47ayq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em47ayq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9EM47AYQ.fits,5,004402.90+011312.6,393,51794,456,0.1196,0.1965,15.73,s,0.04,J0044+0113,68.8,2.61,0.321,0.76,151.3,266,13,E,S,A, ,11.01208,1.22017
J9EM0PEWQ,SDSSJ0109+1500,17.39058333333,15.00902777778,2006-06-16T07:01:13.027000,2006-06-16T07:08:14.073000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.9761,2007-06-16T17:02:30.790000,J9EM0PEWQ,j9em0pewq_drz.fits,mast:HST/product/j9em0pewq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em0pewq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9EM0PEWQ.fits,6,010933.73+150032.5,422,51811,508,0.2939,0.5248,17.75,s,0.11,J0109+1500,77.2,1.38,0.32,0.78,104.0,251,19,E,S,A, ,17.39054,15.00903
J9OP03010,SDSSJ0157-0056,29.49555661681,-0.9406084736719,2006-08-24T13:19:45.107000,2006-08-24T14:02:22.123000,2088.0,ACS   ,WFC1,CLEAR1L;F814W,8045.142475000001,2006-08-25T06:23:56,J9OP03010,j9op03010_drz.fits,mast:HST/product/j9op03010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op03010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP03010.fits,7,015758.94-005626.1,700,52199,20,0.5132,0.9243,18.64,d,0.05,J0157-0056,117.3,1.06,0.31,0.69,69.2,,,E,S,A, ,29.49558,-0.94058
J9OP04010,SDSSJ0252+0039,43.18833963809,0.666212458955,2006-10-02T19:02:20.160000,2006-10-02T19:44:57.207000,2088.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1699,2006-10-03T12:25:49,J9OP04010,j9op04010_drz.fits,mast:HST/product/j9op04010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op04010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP04010.fits,9,025245.21+003958.4,807,52295,614,0.2803,0.9818,18.04,d,0.15,J0252+0039,55.8,1.39,0.317,0.94,97.2,164,12,E,S,A, ,43.18837,0.66622
J9OP05010,SDSSJ0330-0020,52.55055272469,-0.3477702178823,2006-09-16T14:33:51.137000,2006-09-16T15:16:28.183000,2088.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1587,2006-09-17T08:12:11,J9OP05010,j9op05010_drz.fits,mast:HST/product/j9op05010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op05010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP05010.fits,10,033012.14-002051.9,810,52672,252,0.3507,1.0709,18.16,d,0.16,J0330-0020,82.3,1.2,0.306,0.77,109.6,212,21,E,S,A, ,52.55058,-0.34775
J9EM61PFQ,SDSSJ0354-0648,58.743625,-6.811888888889,2005-08-11T01:17:36.383000,2005-08-11T01:24:37.430000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2368,2006-08-11T06:38:09.893000,J9EM61PFQ,j9em61pfq_drz.fits,mast:HST/product/j9em61pfq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em61pfq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J9EM61PFQ.fits,11,035458.47-064842.8,464,51908,310,0.1301,0.3808,15.9,s,0.14,J0354-0648,76.9,3.76,0.316,0.88,9.1,160,8,E,S,X, ,58.74362,-6.81189
J9EM61PGQ,SDSSJ0354-0648,58.743625,-6.811888888889,2005-08-11T01:27:14.397000,2005-08-11T01:34:15.447000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.7598,2006-08-11T06:41:46.283000,J9EM61PGQ,j9em61pgq_drz.fits,mast:HST/product/j9em61pgq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em61pgq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9EM61PGQ.fits,11,035458.47-064842.8,464,51908,310,0.1301,0.3808,15.9,s,0.14,J0354-0648,76.9,3.76,0.316,0.88,9.1,160,8,E,S,X, ,58.74362,-6.81189
J9EM13QBQ,SDSSJ0405-0455,61.39758333333,-4.931222222222,2006-11-10T05:31:22.233000,2006-11-10T05:38:23.280000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1973,2007-11-10T17:02:57.623000,J9EM13QBQ,j9em13qbq_drz.fits,mast:HST/product/j9em13qbq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em13qbq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9EM13QBQ.fits,12,040535.41-045552.4,465,51910,406,0.0753,0.8098,16.45,s,0.21,J0405-0455,15.8,1.36,0.32,0.69,20.3,160,8,E,S,A, ,61.39754,-4.93122
J9OP06010,SDSSJ0728+3835,112.0205809487,38.5904595697,2006-10-09T03:12:29.183000,2006-10-09T03:55:34.200000,2116.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1743,2006-10-09T11:20:51,J9OP06010,j9op06010_drz.fits,mast:HST/product/j9op06010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op06010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP06010.fits,13,072804.95+383525.7,1733,53047,154,0.2058,0.6877,16.74,d,0.12,J0728+3835,91.2,1.78,0.316,0.74,67.0,214,11,E,S,A, ,112.02062,38.59047
J9EM18EDQ,SDSSJ0742+3450,115.716,34.83383333333,2006-09-19T05:30:49.153000,2006-09-19T05:37:50.167000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1606,2007-09-19T14:59:04.233000,J9EM18EDQ,j9em18edq_drz.fits,mast:HST/product/j9em18edq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em18edq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9EM18EDQ.fits,15,074251.84+345001.9,542,51993,386,0.0853,0.739,17.02,s,0.11,J0742+3450,11.0,1.77,0.314,0.97,124.5,165,10,E,S,X, ,115.716,34.83386
J9EM43WAQ,SDSSJ0758+3034,119.6445,30.57869444444,2006-01-15T08:12:38.773000,2006-01-15T08:19:39.820000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2588,2007-01-15T17:43:59.047000,J9EM43WAQ,j9em43waq_drz.fits,mast:HST/product/j9em43waq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em43waq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J9EM43WAQ.fits,16,075834.68+303443.3,1061,52641,256,0.1156,0.5013,16.05,s,0.1,J0758+3034,50.3,1.37,0.32,0.81,108.0,191,10,E,S,B, ,119.6445,30.57869
J9EM43WBQ,SDSSJ0758+3034,119.6445,30.57869444444,2006-01-15T08:22:16.757000,2006-01-15T08:29:17.803000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.8696,2007-01-15T17:53:38.873000,J9EM43WBQ,j9em43wbq_drz.fits,mast:HST/product/j9em43wbq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9em43wbq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9EM43WBQ.fits,16,075834.68+303443.3,1061,52641,256,0.1156,0.5013,16.05,s,0.1,J0758+3034,50.3,1.37,0.32,0.81,108.0,191,10,E,S,B, ,119.6445,30.57869
J9OP07010,SDSSJ0808+4706,122.2448628206,47.11080393226,2006-09-17T02:11:36.127000,2006-09-17T02:55:05.177000,2140.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1587,2006-09-17T23:03:21,J9OP07010,j9op07010_drz.fits,mast:HST/product/j9op07010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op07010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP07010.fits,19,080858.78+470638.9,438,51884,555,0.2195,1.0251,, ,0.09,J0808+4706,,,,,,,,E,M,A,*,122.24492,47.11081
J9OP08010,SDSSJ0822+2652,125.6762957008,26.87873520538,2006-12-06T16:27:57.280000,2006-12-06T17:10:54.297000,2108.0,ACS   ,WFC1,CLEAR1L;F814W,8045.2158,2006-12-07T20:23:07,J9OP08010,j9op08010_drz.fits,mast:HST/product/j9op08010_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j9op08010_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J9OP08010.fits,21,082242.32+265243.5,1267,52932,253,0.2414,0.5941,16.99,d,0.05,J0822+2652,95.4,1.82,0.312,0.74,87.0,259,15,E,S,A, ,125.67633,26.87875
