Lens system,Survey,theta_E,sig_theta_E_up,sig_theta_E_low,gamma,sig_gamma_up,sig_gamma_low,sig_gamma_sys,q_m,sig_q_m_up,sig_q_m_low,phi_m,sig_phi_m_up,sig_phi_m_low,gamma_shear,sig_gamma_shear_up,sig_gamma_shear_low,phi_shear,sig_phi_shear_hi,sig_phi_shear_low,q_L,sig_q_L_up,sig_q_L_low,phi_L,sig_phi_L_up,sig_phi_L_low,R_eff,sig_R_eff_up,sig_R_eff_low,z_lens,z_source,sigma_los,sig_sigma_los,slit_shape,slit radius,slit_width,slit_length,seeing
SDSSJ0008-0004,SLACS,1.225,0.008,0.009,1.75,0.14,0.12,0.33,0.6,0.03,0.02,48,1,1,0.104,0.019,0.023,48,2,1,0.856,0.005,0.005,62.8,0.7,0.8,1.926,0.03,0.025,0.44,1.19,227,27,Circular,1.5,--,--,1.4
SDSSJ0029-0055,SLACS,0.945,0.003,0.003,2.69,0.04,0.05,0.25,0.66,0.04,0.04,64,2,1,0.009,0.005,0.005,-26,10,9,0.837,0.001,0.002,63.5,0.2,0.3,2.386,0.005,0.005,0.23,0.93,215,14,Circular,1.5,--,--,1.4
SDSSJ0037-0942,SLACS,1.476,0.01,0.007,2.38,0.02,0.02,0.11,0.73,0.02,0.02,74,4,3,0.023,0.009,0.012,17,4,4,0.692,0.001,0.001,82.8,0.1,0.1,3.334,0.047,0.047,0.2,0.63,264,7,Circular,1.5,--,--,1.4
SDSSJ0252+0039,SLACS,1.028,0.001,0.001,1.55,0.04,0.03,0.12,0.89,0,0,-17,1,1,0.035,0.001,0.002,-18,1,1,0.923,0.002,0.002,-17.9,0.9,0.9,1.485,0.005,0.005,0.28,0.98,193,9,Circular,1.5,--,--,1.4
SDSSJ0330-0020,SLACS,1.094,0.003,0.003,2.14,0.01,0.01,0.17,0.66,0.01,0.01,-16,1,1,0.028,0.003,0.004,4,5,3,0.722,0.002,0.002,-19.2,0.1,0.2,1.243,0.005,0.004,0.35,1.07,273,22,Circular,1.5,--,--,1.4
SDSSJ0728+3835,SLACS,1.261,0.003,0.002,1.64,0.47,0.01,0.05,0.78,0.01,0.18,26,1,4,0.068,0.004,0.003,26,1,12,0.757,0.001,0.008,23.8,0.2,1.9,1.899,0.003,0.003,0.21,0.69,209,8,Circular,1.5,--,--,1.4
SDSSJ0737+3216,SLACS,0.963,0.001,0.001,2.32,0.03,0.04,0.2,0.85,0.01,0.01,-11,1,1,0.111,0.004,0.005,81,0,0,0.864,0.002,0.002,-14.5,0.3,0.3,2.828,0.012,0.017,0.32,0.58,313,10,Circular,1.5,--,--,1.4
SDSSJ0819+4534,SLACS,0.784,0.007,0.007,1.84,0.09,0.06,0.2,0.77,0.02,0.02,35,1,1,0.089,0.012,0.015,55,3,3,0.794,0.002,0.002,48.8,0.3,0.3,3.063,0.008,0.008,0.19,0.45,231,12,Circular,1.5,--,--,1.4
SDSSJ0903+4116,SLACS,1.275,0.002,0.001,2.17,0.01,0.01,0.04,0.75,0.01,0.01,77,1,1,0.067,0.002,0.004,59,1,1,0.858,0.002,0.002,-88.1,0.8,0.4,2.982,0.07,0.07,0.43,1.07,270,21,Circular,1.5,--,--,1.4
SDSSJ0912+0029,SLACS,1.609,0.001,0.002,1.58,0.01,0.01,0.06,0.76,0.01,0.01,76,0,0,0.032,0.003,0.003,68,2,2,0.636,0.001,0.001,77.1,0,0.1,4.21,0.006,0.005,0.16,0.32,301,8,Circular,1.5,--,--,1.4
