recno,SDSS,Plate,MJD,Fiber,zFG,zBG,Imag,n_Imag,AI,Name,L(V555),Re,Le2/LdV,b/a,PA,sigma,e_sigma,Mph,Mul,Lens,n_Lens,_RA,_DE
1,000802.96-000408.2,669,52559,156,0.44,1.1924,18.65,d,0.12,J0008-0004,86.7,1.71,0.313,0.83,27.3,,,E,S,A, ,2.01233,-0.06894
2,002817.87-092934.3,653,52145,590,0.0565,0.7146,13.75,s,0.07,J0028-0929,92.8,15.21,0.346,0.48,78.9,147,7,L,S,X, ,7.07446,-9.49286
3,002907.77-005550.5,391,51782,88,0.227,0.9313,17.09,d,0.04,J0029-0055,76.3,2.16,0.31,0.84,26.6,229,18,E,S,A, ,7.28237,-0.93069
4,003753.21-094220.1,655,52162,392,0.1955,0.6322,16.26,s,0.06,J0037-0942,120.5,2.19,0.326,0.73,11.4,279,14,E,S,A, ,9.47171,-9.70558
5,004402.90+011312.6,393,51794,456,0.1196,0.1965,15.73,s,0.04,J0044+0113,68.8,2.61,0.321,0.76,151.3,266,13,E,S,A, ,11.01208,1.22017
6,010933.73+150032.5,422,51811,508,0.2939,0.5248,17.75,s,0.11,J0109+1500,77.2,1.38,0.32,0.78,104.0,251,19,E,S,A, ,17.39054,15.00903
7,015758.94-005626.1,700,52199,20,0.5132,0.9243,18.64,d,0.05,J0157-0056,117.3,1.06,0.31,0.69,69.2,,,E,S,A, ,29.49558,-0.94058
8,021652.54-081345.3,668,52162,428,0.3317,0.5235,16.93,d,0.07,J0216-0813,206.4,2.67,0.312,0.79,81.2,333,23,E,S,A, ,34.21892,-8.22925
9,025245.21+003958.4,807,52295,614,0.2803,0.9818,18.04,d,0.15,J0252+0039,55.8,1.39,0.317,0.94,97.2,164,12,E,S,A, ,43.18837,0.66622
10,033012.14-002051.9,810,52672,252,0.3507,1.0709,18.16,d,0.16,J0330-0020,82.3,1.2,0.306,0.77,109.6,212,21,E,S,A, ,52.55058,-0.34775
11,035458.47-064842.8,464,51908,310,0.1301,0.3808,15.9,s,0.14,J0354-0648,76.9,3.76,0.316,0.88,9.1,160,8,E,S,X, ,58.74362,-6.81189
12,040535.41-045552.4,465,51910,406,0.0753,0.8098,16.45,s,0.21,J0405-0455,15.8,1.36,0.32,0.69,20.3,160,8,E,S,A, ,61.39754,-4.93122
13,072804.95+383525.7,1733,53047,154,0.2058,0.6877,16.74,d,0.12,J0728+3835,91.2,1.78,0.316,0.74,67.0,214,11,E,S,A, ,112.02062,38.59047
14,073728.45+321618.6,541,51959,145,0.3223,0.5812,17.04,d,0.08,J0737+3216,177.8,2.82,0.312,0.85,104.1,338,17,E,S,A, ,114.36854,32.27183
15,074251.84+345001.9,542,51993,386,0.0853,0.739,17.02,s,0.11,J0742+3450,11.0,1.77,0.314,0.97,124.5,165,10,E,S,X, ,115.716,34.83386
16,075834.68+303443.3,1061,52641,256,0.1156,0.5013,16.05,s,0.1,J0758+3034,50.3,1.37,0.32,0.81,108.0,191,10,E,S,B, ,119.6445,30.57869
17,080240.82+450452.7,436,51883,633,0.1423,0.4523,16.16,s,0.09,J0802+4504,70.3,2.71,0.315,0.8,86.0,244,12,E,S,X, ,120.67008,45.08131
18,080358.21+453655.6,439,51877,333,0.1313,0.2938,16.9,s,0.15,J0803+4536,31.6,1.07,0.315,0.36,69.5,228,12,L,S,X, ,120.99254,45.61544
19,080858.78+470638.9,438,51884,555,0.2195,1.0251,, ,0.09,J0808+4706,,,,,,,,E,M,A,*,122.24492,47.11081
20,081931.93+453444.8,441,51868,108,0.1943,0.4462,17.07,s,0.08,J0819+4534,57.6,1.98,0.319,0.78,40.4,225,15,E,S,B, ,124.88304,45.57911
21,082242.32+265243.5,1267,52932,253,0.2414,0.5941,16.99,d,0.05,J0822+2652,95.4,1.82,0.312,0.74,87.0,259,15,E,S,A, ,125.67633,26.87875
22,084128.81+382413.7,828,52317,12,0.1159,0.6567,15.34,d,0.06,J0841+3824,94.6,4.21,0.318,0.58,92.9,225,11,L,S,A, ,130.37004,38.40381
23,084706.89+031822.6,564,52224,542,0.1192,0.4146,16.8,s,0.05,J0847+0318,25.7,1.91,0.32,0.69,120.1,199,12,E,S,X, ,131.77871,3.30628
24,090315.19+411609.1,1200,52668,398,0.4304,1.0645,17.95,d,0.03,J0903+4116,144.7,1.78,0.308,0.89,1.6,,,E,S,A, ,135.81329,41.26919
25,090319.52+313951.2,1590,52974,622,0.2711,0.5494,16.77,d,0.04,J0903+3139,150.0,3.03,0.319,0.67,147.8,258,15,E,S,B, ,135.83133,31.66422
26,091053.11+052023.2,1193,52652,232,0.2706,1.0741,, ,0.08,J0910+0520,,,,,,,,E,M,B, ,137.72129,5.33978
27,091205.31+002901.2,472,51955,429,0.1642,0.3239,15.57,d,0.05,J0912+0029,156.4,3.87,0.33,0.67,11.7,326,16,E,S,A, ,138.02212,0.48367
28,091244.31+413637.0,1200,52668,588,0.0646,0.1377,15.85,s,0.04,J0912+4136,17.3,1.24,0.337,0.65,22.7,218,11,E,S,X, ,138.18462,41.61028
29,092559.35+081411.8,1302,52763,12,0.1345,0.2251,17.66,s,0.09,J0925+0814,15.6,1.44,0.322,0.83,67.2,,,E,S,X, ,141.49729,8.23661
30,093425.13+603423.5,486,51910,241,0.1011,0.244,16.37,s,0.06,J0934+6034,27.5,1.65,0.313,0.56,48.4,208,10,E,S,X, ,143.60471,60.57319
31,093543.93-000334.8,476,52314,177,0.3475,0.467,16.75,s,0.06,J0935-0003,268.5,4.24,0.311,0.9,145.2,396,35,E,S,A, ,143.93304,-0.05967
32,093600.77+091335.8,1303,53050,78,0.1897,0.588,16.52,d,0.07,J0936+0913,90.5,2.11,0.308,0.81,145.3,243,12,E,S,A, ,144.00321,9.22661
