target,b_SIE,,
SDSSJ002927.38+254401.7,1.34,,
SDSSJ011300.57+025046.2,1.24,,
SDSSJ020121.39+322829.6,1.7,,
SDSSJ023740.63-064112.9,0.65,,
SDSSJ074249.68+334148.9,1.22,,
SDSSJ075523.52+344539.5,2.05,,
SDSSJ085621.59+201040.5,0.98,,
SDSSJ091807.86+451856.7,0.77,,
SDSSJ091859.21+510452.5,1.6,,
SDSSJ111027.11+280838.4,0.98,,
SDSSJ111040.42+364924.4,1.16,,
SDSSJ111634.55+091503.0,1.03,,
SDSSJ114154.71+221628.8,1.27,,
SDSSJ120159.02+474323.2,1.18,,
SDSSJ122656.45+545739.0,1.37,,
SDSSJ222825.76+120503.9,1.28,,
SDSSJ234248.68-012032.5,1.11,,
,,,
,,,
,,,
,,,
