target,z_L,z_S,sigma_BOSS
SDSSJ002927.38+254401.7,0.5869,2.4504,241
SDSSJ005409.97+294450.8,0.4488,2.7176,177
SDSSJ011300.57+025046.2,0.623,2.6088,850
SDSSJ020121.39+322829.6,0.3957,2.8209,256
SDSSJ023740.63-064112.9,0.4859,2.2491,290
SDSSJ074249.68+334148.9,0.4936,2.3633,218
SDSSJ075523.52+344539.5,0.7224,2.6347,272
SDSSJ085621.59+201040.5,0.5074,2.2335,334
SDSSJ091807.86+451856.7,0.5238,2.344,119
SDSSJ091859.21+510452.5,0.5811,2.403,298
SDSSJ111027.11+280838.4,0.6073,2.3999,191
SDSSJ111040.42+364924.4,0.733,2.5024,531
SDSSJ111634.55+091503.0,0.5501,2.4536,274
SDSSJ114154.71+221628.8,0.5858,2.7624,285
SDSSJ120159.02+474323.2,0.5628,2.1258,239
SDSSJ122656.45+545739.0,0.498,2.7322,248
SDSSJ151641.22+495440.7,0.5479,2.8723,226
SDSSJ152926.41+401548.8,0.5308,2.792,283
SDSSJ222825.76+120503.9,0.5305,2.8324,255
SDSSJ224505.93+004018.3,0.7021,2.5413,64
SDSSJ234248.68-012032.5,0.527,2.2649,274
