name,z_d,z_s,sigma
SL2SJ020833-071414,0.428,,295
SL2SJ021206-075528,0.46,,257
SL2SJ021247-055552,0.75,2.74,273
SL2SJ021325-074355,0.717,3.48,293
SL2SJ021411-040502,0.609,1.88,209
SL2SJ021737-051329,0.646,1.85,292
SL2SJ021801-080247,,2.06,
SL2SJ021902-082934,0.389,2.15,289
SL2SJ022046-094927,0.572,,254
SL2SJ022056-063934,0.33,,231
SL2SJ022346-053418,0.499,1.44,288
SL2SJ022357-065142,0.473,,289
SL2SJ022511-045433,0.238,1.2,234
SL2SJ022610-042011,0.494,1.23,263
SL2SJ022648-040610,0.766,,324
SL2SJ022648-090421,0.456,,302
SL2SJ023251-040823,0.352,2.34,247
SL2SJ084847-035103,0.682,1.55,197
SL2SJ084909-041226,0.722,1.54,275
SL2SJ084934-043352,0.373,,245
SL2SJ084959-025142,0.274,2.09,276
SL2SJ085019-034710,0.337,3.25,290
SL2SJ085327-023745,0.774,2.44,
SL2SJ085540-014730,0.365,3.39,222
SL2SJ085559-040917,0.419,2.95,281
SL2SJ085826-014300,0.58,,233
SL2SJ090106-025906,0.67,1.19,
SL2SJ090407-005952,0.611,2.36,183
SL2SJ095921+020638,0.552,3.35,188
SL2SJ135847+545913,0.51,,287
SL2SJ135949+553550,0.783,2.77,234
SL2SJ140123+555705,0.527,,332
SL2SJ140156+554446,0.464,,297
SL2SJ140221+550534,0.412,,
SL2SJ140454+520024,0.456,1.59,342
SL2SJ140546+524311,0.526,3.01,284
SL2SJ140614+520253,0.48,,247
SL2SJ140650+522619,0.716,1.47,247
SL2SJ141137+565119,0.322,1.42,214
SL2SJ142003+523137,0.354,1.41,
SL2SJ142031+525822,0.38,0.99,246
SL2SJ142059+563007,0.483,3.12,
SL2SJ142731+551645,0.511,2.58,
SL2SJ220329+020518,0.4,2.15,213
SL2SJ220506+014703,0.476,2.53,317
SL2SJ220629+005728,0.704,,290
SL2SJ221326-000946,0.338,3.45,177
SL2SJ221407-180712,0.651,,200
SL2SJ221852+014038,0.564,,305
SL2SJ221929-001743,0.289,1.02,189
SL2SJ222012+010606,0.232,1.07,127
SL2SJ222148+011542,0.325,2.35,222
SL2SJ222217+001202,0.436,1.36,221
